#	RadiusAU	AngularMomentumX	AngularMomentumX_std	AngularMomentumY	AngularMomentumY_std	AngularMomentumZ	AngularMomentumZ_std	CellMassMsun	CellMassMsun_std	Density	Density_std	SpecificAngularMomentumX	SpecificAngularMomentumX_std	SpecificAngularMomentumY	SpecificAngularMomentumY_std	SpecificAngularMomentumZ	SpecificAngularMomentumZ_std	
4.0000000000000000e+00	6.3298821037064403e+45	4.3921269795020842e+45	1.5360214089718401e+45	5.3635267714276738e+44	-1.0888308180607872e+46	7.1165704822312419e+45	2.3444832880315501e-07	1.3823844877067839e-07	2.0263906026377009e-15	1.1948265741203534e-15	6.2193910645737505e+19	4.7370624360205705e+19	9.3398579518365401e+19	2.5465281560483656e+19	-1.2335900741253682e+20	3.4475663161767334e+19
6.0000000000000000e+00	6.9757161308953623e+46	2.5504262206659204e+46	5.2495447842021577e+46	2.2567612155047067e+46	-1.0307991072779266e+47	2.9299063911060738e+46	2.5837906969201178e-06	7.7980993651488515e-07	2.2332294771090654e-14	6.7400758847976915e-15	1.5904203040167382e+20	2.9053627773066080e+19	6.0278787419798012e+19	4.7836107572247192e+19	-2.9315926037233769e+20	4.6460033396034404e+19
8.0000000000000000e+00	1.4779038773829495e+47	3.6866145685312062e+46	1.1774576774812627e+47	3.6955284794959159e+46	-2.7273333300373731e+47	6.1251118663180353e+46	7.6143974496461369e-06	1.5804223576115157e-06	6.5812981118182154e-14	1.3659952408325281e-14	3.4394182091616079e+20	8.1471944789165244e+19	3.0947785807396680e+20	9.3973518401455161e+19	-3.8879044210602213e+20	8.6133505367597744e+19
1.0000000000000000e+01	6.0065352881004124e+47	1.0508704511199689e+47	4.4105172669098542e+47	9.8168350078779401e+46	-1.1294554855193812e+48	1.4966738468432068e+47	2.9671951432965125e-05	3.6696562403400357e-06	2.5646147214026819e-13	3.1717679363708786e-14	3.6762200135824454e+20	5.3119308385954218e+19	1.3897143734346151e+20	8.2215819609399329e+19	-6.4071274161217654e+20	6.9651847407755313e+19
1.2000000000000000e+01	1.2891193820796273e+48	1.7969047903370588e+47	1.0911897585192094e+48	1.9510385106124683e+47	-2.3742887203305269e+48	2.9613326430982650e+47	5.9211105793787548e-05	6.6790696315060647e-06	5.1177514877087554e-13	5.7728728563513661e-14	5.7017033257959752e+20	9.7150761104789307e+19	4.9826358551894072e+20	1.2133409459927428e+20	-1.0368771720441249e+21	8.8983471741948854e+19
1.4000000000000000e+01	1.9644309402765584e+48	2.4779129852800411e+47	1.3280757573313633e+48	2.2650986951335996e+47	-3.3472142630880496e+48	3.8653041017559950e+47	7.7679246606884774e-05	7.9650625745358485e-06	6.7139951966272875e-13	6.8843860107069755e-14	7.5072002671802686e+20	1.1119022187522456e+20	5.1636043354448973e+20	1.1746479874672150e+20	-1.2427004569126563e+21	1.0683427101606578e+20
1.6000000000000000e+01	2.9198380434668222e+48	3.3112968808775220e+47	2.2633379091425544e+48	3.0622720832837104e+47	-5.5616805317379163e+48	5.1955217119218468e+47	1.2144650394039873e-04	1.0417026598998722e-05	1.0496899490149605e-12	9.0036746755236024e-14	1.0623711622582579e+21	1.3226827809621878e+20	6.7495883497956560e+20	1.5409379166151010e+20	-1.9636511973151280e+21	1.3997185374410102e+20
1.8000000000000000e+01	4.3165627822986073e+48	4.2481591181954558e+47	2.9574147977611747e+48	3.8666289131176131e+47	-7.3307386510578680e+48	6.8758619975104849e+47	1.4736096390706763e-04	1.2378107134305395e-05	1.2736745618162698e-12	1.0698681497729482e-13	1.4277411769010309e+21	1.3404111065103144e+20	1.0058039660171981e+21	1.6359697904904762e+20	-2.3056240316934154e+21	1.4966809820369161e+20
2.0000000000000000e+01	5.1862511743009765e+48	4.6452527713857655e+47	3.9285117603159346e+48	4.3341540847797224e+47	-9.1547989988513186e+48	7.1198541300572904e+47	1.8490134759669997e-04	1.3046767038116957e-05	1.5981446960945776e-12	1.1276619567222833e-13	1.9573756816752281e+21	1.9619711239320663e+20	1.3613357253059304e+21	1.9183088839108490e+20	-3.1006620570226388e+21	1.9806872156229989e+20
2.2000000000000000e+01	5.7358081164758683e+48	4.6247799749723289e+47	3.6972417202833796e+48	4.0308539132527783e+47	-9.5684337426260165e+48	7.3896576488671125e+47	1.8277223331865047e-04	1.2536654365380934e-05	1.5797422737484426e-12	1.0835717500829104e-13	2.2277122895260759e+21	1.7650106674273301e+20	1.3443215486174862e+21	2.4553083541366607e+20	-3.3701414470580358e+21	2.3922803678166974e+20
2.4000000000000000e+01	7.0770733656028747e+48	5.3036593485326100e+47	5.2904866412760722e+48	4.9245416851390953e+47	-1.2522628065576076e+49	8.0016729650722759e+47	2.3164459170898913e-04	1.3475944799461994e-05	2.0021572607798675e-12	1.1647567736011391e-13	3.0402856402611444e+21	2.4094769404100251e+20	1.9703049338076264e+21	2.4313216010782307e+20	-4.7892967828900324e+21	2.5912607990470050e+20
2.6000000000000000e+01	8.8524904325956473e+48	5.5178349024219417e+47	6.1607000825554048e+48	5.2977277784148500e+47	-1.4177108093846030e+49	8.2947123168701314e+47	2.5721868638129059e-04	1.3674722131779365e-05	2.2232000183865113e-12	1.1819375537023058e-13	3.8129917732662060e+21	2.5915679201299661e+20	1.9568350450086474e+21	2.6845609453396908e+20	-5.4307481927444144e+21	2.8701717910794781e+20
2.8000000000000000e+01	8.6889738923498846e+48	5.5684955494662424e+47	6.7104456289131225e+48	5.2030465307712197e+47	-1.4797168029618899e+49	8.0029184591853455e+47	2.6463469053288589e-04	1.2894805660068111e-05	2.2872982407906997e-12	1.1145275867733040e-13	4.4528839501789339e+21	2.9917174916293204e+20	2.8534650009677500e+21	3.1747528568650210e+20	-6.3985483216548035e+21	3.4604862562425379e+20
