#	RadiusAU	AngularMomentumX	AngularMomentumX_std	AngularMomentumY	AngularMomentumY_std	AngularMomentumZ	AngularMomentumZ_std	CellMassMsun	CellMassMsun_std	Density	Density_std	SpecificAngularMomentumX	SpecificAngularMomentumX_std	SpecificAngularMomentumY	SpecificAngularMomentumY_std	SpecificAngularMomentumZ	SpecificAngularMomentumZ_std	
4.0000000000000000e+00	3.4351688524525704e+47	1.2573549985317643e+47	-5.7488014382398712e+47	2.2111510519617520e+47	-5.4384687405194542e+47	1.5417484289741074e+47	7.9604604892438536e-06	2.5088665108475701e-06	6.8804083229853997e-14	2.1684707870630538e-14	3.7153844847491999e+20	1.2179782768716499e+20	-2.3841337840361285e+20	9.1447651456721142e+19	-3.1366246295530793e+20	1.7627898595599889e+20
6.0000000000000000e+00	1.0749952179462740e+48	3.9499845174110371e+47	-2.5007063815673885e+48	5.7823228388057750e+47	-1.9218855468162002e+48	5.1371944346014132e+47	2.3293920024195407e-05	5.1763081492372672e-06	2.0133468588405023e-13	4.4740016887807272e-14	4.4653749686067921e+19	2.5297617709236139e+20	-8.4691410590642576e+20	1.5806011111840802e+20	-5.0876133513628746e+20	2.3872890640626044e+20
8.0000000000000000e+00	3.1369008030810534e+48	7.7927147257982425e+47	-5.4800382548974924e+48	1.0925212960323510e+48	-4.7644700805663671e+48	9.8954784541231168e+47	4.4322357107390818e-05	7.9665822193460393e-06	3.8308828383493422e-13	6.8856994745215549e-14	1.0861929137939892e+21	3.3459659329449624e+20	-1.3572125907383018e+21	2.0078333049813084e+20	-9.6083825412848943e+20	3.1145616495422747e+20
1.0000000000000000e+01	7.6417677640252350e+48	1.5753881102758427e+48	-1.4633366511629294e+49	2.1936158621203135e+48	-1.1553936378347634e+49	1.7687974916602412e+48	9.3537789101989883e-05	1.2456378580575650e-05	8.0846853460372660e-13	1.0766333301428230e-13	1.8781509605276723e+21	3.6972622373970575e+20	-3.1599966436050270e+21	3.7635626720505227e+20	-2.0552899591117708e+21	4.3154371516117497e+20
1.2000000000000000e+01	1.1468621244369387e+49	1.7136250341081918e+48	-1.9516746857788801e+49	3.1476533265013452e+48	-1.7280935663657856e+49	2.6906380400998138e+48	1.1499292765146522e-04	1.5337003160471412e-05	9.9391021105709134e-13	1.3256123102117737e-13	3.8128725011108400e+21	4.0194768775924102e+20	-3.0108673908999533e+21	4.8481331367313146e+20	-2.7532890383173078e+21	4.9972297377321609e+20
1.4000000000000000e+01	1.5583693117012557e+49	2.2620623093212099e+48	-2.7902111212130877e+49	3.4216800295360226e+48	-2.5171804738632115e+49	3.1322398694572386e+48	1.4499502930939446e-04	1.6007879977782914e-05	1.2532252472075673e-12	1.3835977300724087e-13	4.0388026611283777e+21	4.6515609201558435e+20	-5.9755721988100588e+21	6.0528180330401117e+20	-5.0944758626263404e+21	5.8484334464860442e+20
1.6000000000000000e+01	1.8681992460582340e+49	2.4003029626831872e+48	-3.1468199745305068e+49	4.2721624412413527e+48	-2.7980679953776568e+49	3.6249104853557797e+48	1.4863713977841293e-04	1.7026234896785063e-05	1.2847048421608075e-12	1.4716164781074364e-13	6.8461789071812193e+21	5.2129071385988943e+20	-5.7652820281149652e+21	7.7561912431106104e+20	-6.0789534631916187e+21	7.6097293865576602e+20
1.8000000000000000e+01	1.8852961840414026e+49	2.2590380004512320e+48	-2.8878786813546796e+49	3.2137015902705471e+48	-2.8011267883467646e+49	3.1150682259778046e+48	1.3702371708555229e-04	1.3125980694055332e-05	1.1843273699501566e-12	1.1345085744317606e-13	8.5230130185805276e+21	6.1926895510464928e+20	-9.5531804331621325e+21	8.5686975345520856e+20	-8.9055942535424739e+21	9.1117541768848094e+20
2.0000000000000000e+01	1.6827436828366810e+49	1.9550291265456834e+48	-2.8529238997331549e+49	3.5135948435977470e+48	-2.5283561084509624e+49	3.0527685514886574e+48	1.2317129958265455e-04	1.2615119028589477e-05	1.0645977527889522e-12	1.0903536306352952e-13	9.9077806256914841e+21	6.5330469471449409e+20	-9.4647639712939020e+21	1.0371606030263621e+21	-1.0014136254640375e+22	1.0754288995981891e+21
2.2000000000000000e+01	1.7977524651194251e+49	1.8878939992807763e+48	-2.8657392824843368e+49	3.1035458573276846e+48	-2.6305786404733544e+49	2.7445226977442520e+48	1.2334432485222648e-04	1.0809044468862587e-05	1.0660932498226447e-12	9.3425046990146851e-14	1.3157272807065090e+22	7.5567835353472460e+20	-1.4424784441074157e+22	1.1678137365953809e+21	-1.3715577006127472e+22	1.2538449524350465e+21
