#	RadiusAU	AngularMomentumX	AngularMomentumX_std	AngularMomentumY	AngularMomentumY_std	AngularMomentumZ	AngularMomentumZ_std	CellMassMsun	CellMassMsun_std	Density	Density_std	SpecificAngularMomentumX	SpecificAngularMomentumX_std	SpecificAngularMomentumY	SpecificAngularMomentumY_std	SpecificAngularMomentumZ	SpecificAngularMomentumZ_std	
4.0000000000000000e+00	7.7403766995055619e+47	6.5728891978094256e+47	1.5086301526325121e+48	9.9511510411898571e+47	9.5675633682831240e+47	4.8797334857312986e+47	1.3158431329469722e-05	6.4411563672870324e-06	1.1373133571738272e-13	5.5672389730486262e-14	-1.3867343398925523e+20	1.4915880832477079e+20	1.2322411369363155e+20	1.6519145066481762e+20	3.5527470972970448e+20	7.6699040179782009e+19
6.0000000000000000e+00	2.3241428219037777e+47	1.2290648517420572e+48	3.0648458256393440e+48	1.9910278958339915e+48	7.1352200592207779e+48	1.6652507034214550e+48	6.0956909935943452e-05	1.2032325628337512e-05	5.2686453382117797e-13	1.0399814622526663e-13	-4.8688508432602176e+20	3.1402084180480459e+20	3.7176945710908427e+20	2.8387756519534952e+20	1.3794573957260407e+21	1.9075336930183076e+20
8.0000000000000000e+00	3.4289606181165362e+48	1.6634700325497404e+48	4.0521151128922505e+48	2.4552698059904316e+48	1.6134165013855653e+49	3.0917092791794660e+48	1.1142069618833308e-04	1.6921926541821656e-05	9.6303459635644067e-13	1.4626008680856687e-13	8.1303920314748994e+19	2.4515062826956751e+20	4.1365047677793390e+20	2.8623523719455575e+20	1.6256339685344134e+21	1.8345651514311377e+20
1.0000000000000000e+01	-4.4762593155004630e+47	3.1146378927993009e+48	5.5403034221842908e+48	3.3843515815243168e+48	4.2738031276284623e+49	6.7536085542009404e+48	2.4669314299185596e-04	3.0449098414796507e-05	2.1322253361574316e-12	2.6317853149782749e-13	-7.8773501219849123e+20	3.8358518151166696e+20	6.2417677662288347e+20	3.3986363672017902e+20	3.3727016192088274e+21	2.5960670857556712e+20
1.2000000000000000e+01	5.9399857617120468e+48	3.7700386898666021e+48	1.7405798096702376e+48	4.5444360659631930e+48	6.7113824639003651e+49	9.2261421537343362e+48	3.6182273104636573e-04	3.9661082548428317e-05	3.1273167343780057e-12	3.4279982022841234e-13	-4.9723037232717398e+20	3.5613411073955955e+20	7.1783270591602334e+20	4.1549251788673581e+20	4.4732833832023449e+21	3.2863609044766104e+20
1.4000000000000000e+01	6.6315923868000866e+48	3.5757675754321809e+48	7.1824204847934408e+48	4.4935935853925254e+48	8.9427905500615431e+49	1.0489993338873282e+49	4.5374105969881281e-04	4.1296535313152196e-05	3.9217879014037699e-12	3.5693541304928001e-13	-4.4690942798723770e+20	4.3210883072415898e+20	1.0074673192797047e+21	4.8194413556264285e+20	6.3323001623832229e+21	3.9049323536121443e+20
1.6000000000000000e+01	1.6100789207675262e+49	4.3567793977461590e+48	7.0335399599902717e+48	5.1056062364452689e+48	1.1397168022684349e+50	1.2520302525169965e+49	5.7079082421248976e-04	4.8220777824153260e-05	4.9334758245478781e-12	4.1678322696335495e-13	-5.0781355096937844e+20	5.0915477685591625e+20	1.4296174118429136e+21	5.5102564865572700e+20	8.8947977500277992e+21	4.5629865258459431e+20
1.8000000000000000e+01	1.8242594829758381e+49	4.8085986611858924e+48	1.2071969700688599e+49	4.3313615007071606e+48	1.1417462790456752e+50	1.1765758605109058e+49	5.5729139115659617e-04	4.3809619529418137e-05	4.8167971328078008e-12	3.7865657551384225e-13	-2.2118754567148863e+20	5.8421362411895842e+20	1.7712530960029461e+21	5.5640354819039691e+20	1.0444423243466109e+22	5.6313384339193804e+20
2.0000000000000000e+01	2.0832493372644201e+49	4.2842236347297097e+48	1.8559962686356499e+49	4.7990532145516696e+48	1.0002491534344938e+50	1.0499935037305944e+49	5.1342800870823923e-04	4.0284081696501102e-05	4.4376758720719985e-12	3.4818454455360019e-13	3.6251825762765557e+20	6.2624169330426760e+20	2.7013689533407046e+21	6.3267363549224829e+20	1.1455829241268057e+22	6.7439785021564938e+20
2.2000000000000000e+01	2.9355927456626715e+49	4.4569437793531187e+48	2.6667468663461551e+49	4.8216935318374072e+48	1.1629725624185346e+50	1.1249329118987832e+49	5.9240654354661361e-04	3.8793035689714069e-05	5.1203054375015201e-12	3.3529709241573246e-13	1.0497682553788217e+21	8.3876437461053565e+20	3.9076792863628366e+21	7.4279571393573277e+20	1.5675775788912732e+22	8.4335545497159900e+20
