#	RadiusAU	AngularMomentumX	AngularMomentumX_std	AngularMomentumY	AngularMomentumY_std	AngularMomentumZ	AngularMomentumZ_std	CellMassMsun	CellMassMsun_std	Density	Density_std	SpecificAngularMomentumX	SpecificAngularMomentumX_std	SpecificAngularMomentumY	SpecificAngularMomentumY_std	SpecificAngularMomentumZ	SpecificAngularMomentumZ_std	
4.0000000000000000e+00	4.7970386171880378e+44	3.6203825387962988e+44	4.4914452906655215e+44	4.3587175476790615e+44	2.0538134903987753e+44	2.4100306062916291e+44	6.1386003596501025e-08	1.2417168650717561e-08	5.3057328860669539e-16	1.0732443261008611e-16	-2.1317301452047204e+19	3.5359274051223945e+19	2.8302274911093760e+19	2.7668510326967345e+19	-1.5817040814158942e+19	2.8702076717013119e+19
6.0000000000000000e+00	2.5651553300919417e+45	8.6487828435120725e+44	9.9075499331603437e+44	7.0337686030200292e+44	1.8149264546061952e+45	6.1643933281694596e+44	1.3206118458049332e-07	1.8894313791483366e-08	1.1414350649170130e-15	1.6330788155242570e-16	4.4296547071422833e+19	9.1394677661959717e+19	1.1650443541216148e+20	7.8078121219781738e+19	1.2176361852354447e+20	5.1126843729912414e+19
8.0000000000000000e+00	2.8260215855560904e+45	8.0513620467506216e+44	1.5466238435553656e+45	7.5412979077069808e+44	1.1870156406928258e+45	4.3123882744172110e+44	1.1297774078234743e-07	2.3018583647481691e-08	9.7649248939967741e-16	1.9895489051854156e-16	1.4109066231113756e+20	9.9638199886916895e+19	2.4441169770363853e+20	8.4254745341065478e+19	1.1389318675774998e+20	8.6851714722182545e+19
1.0000000000000000e+01	5.3752620352967291e+45	1.2220095898644338e+45	2.7674218325443658e+45	9.5890585758868810e+44	2.8454677448650286e+45	7.9448982273089860e+44	2.3673045612457990e-07	3.2531493799178157e-08	2.0461155517630187e-15	2.8117715174574587e-16	2.7863020212051686e+20	1.2826656641165022e+20	4.0262716416150143e+20	1.1324109873118509e+20	3.2846533976127930e+20	9.8433689104871506e+19
1.2000000000000000e+01	7.3653837207092209e+45	1.1465689760243936e+45	3.5460470789042515e+45	1.1106388874214942e+45	2.8103433915357764e+45	8.9719501681442774e+44	2.2968189826569690e-07	3.1236926269512841e-08	1.9851932518246779e-15	2.6998790808602140e-16	6.9624703488085682e+20	1.0870969874083478e+20	4.9739573811656904e+20	1.3073341784282677e+20	4.9769689835557106e+20	1.3419361621189247e+20
1.4000000000000000e+01	8.2887523146743150e+45	1.4488734849404710e+45	3.3674396649851352e+45	1.1595162007713711e+45	3.7364761727430511e+45	8.6431068891499020e+44	2.8550756701484831e-07	3.7747521774916328e-08	2.4677072928363582e-15	3.2626047619121716e-16	8.2373194336131875e+20	1.3728560669553094e+20	4.2787169615014619e+20	1.4228865424039790e+20	6.1696974480682595e+20	1.3055347410781010e+20
1.6000000000000000e+01	1.0667763546160230e+46	1.5533091957091629e+45	4.7278265895737158e+45	1.4816376211456151e+45	4.7803217375704307e+45	1.0812460438368439e+45	3.7371448688077053e-07	4.2518939212476212e-08	3.2300999036789591e-15	3.6750092992399260e-16	1.2966389315567370e+21	1.5593705865707566e+20	6.7637164359587332e+20	1.8062101382346342e+20	8.6401224170413294e+20	1.5627221384435738e+20
1.8000000000000000e+01	1.0315504786167774e+46	1.5657606601325146e+45	4.7328614375084056e+45	1.4597551873458945e+45	4.4416975363851444e+45	1.1213250277826128e+45	3.5588330149363443e-07	4.0745304241791374e-08	3.0759808844185517e-15	3.5217099664849035e-16	1.3194413441661456e+21	1.8373395060206400e+20	7.6096272673564839e+20	2.0509389680045359e+20	9.3928558171860317e+20	1.8473702615037811e+20
2.0000000000000000e+01	1.3135700620085790e+46	1.8187208343029906e+45	6.1828190674587480e+45	1.6495236475771455e+45	6.6615191320901048e+45	1.1140887603563126e+45	4.4472793008155000e-07	4.3941045329474324e-08	3.8438853578027371e-15	3.7979251880479062e-16	1.8997346583174838e+21	2.2767333358714887e+20	1.0413817478942133e+21	2.6619454854930022e+20	1.4865542622056124e+21	2.1403285425459239e+20
2.2000000000000000e+01	1.3919219456736896e+46	2.1826468552368066e+45	7.3517664084443059e+45	2.0914525883800944e+45	6.7099982858440249e+45	1.3649278491787222e+45	4.9909796427001710e-07	5.2835785584633454e-08	4.3138180159156639e-15	4.5667179603389407e-16	2.1529714408472618e+21	2.5626080069491183e+20	1.0038734354000535e+21	2.8471737054477474e+20	1.5566647119387212e+21	2.6267396042649856e+20
