#	RadiusAU	AngularMomentumX	AngularMomentumX_std	AngularMomentumY	AngularMomentumY_std	AngularMomentumZ	AngularMomentumZ_std	CellMassMsun	CellMassMsun_std	Density	Density_std	SpecificAngularMomentumX	SpecificAngularMomentumX_std	SpecificAngularMomentumY	SpecificAngularMomentumY_std	SpecificAngularMomentumZ	SpecificAngularMomentumZ_std	
4.0000000000000000e+00	9.0484261484963734e+44	3.9739417646237901e+44	6.4327561021736327e+44	3.3002089118023200e+44	-1.2085385391995384e+45	5.3221101677709332e+44	4.5541921895268452e-08	1.7278379062184341e-08	3.9362926161916071e-16	1.4934098758204148e-16	7.3215588269846774e+19	3.5538294534294823e+19	4.5353414865676427e+19	4.5384412919506444e+19	-1.1403019547044676e+20	2.3030477029785190e+19
6.0000000000000000e+00	2.2186028962862633e+46	9.6154698172020043e+45	1.4953547230307844e+46	6.0083019914709341e+45	-3.9418608205745679e+46	1.1822742460076452e+46	1.2011818289625667e-06	3.4024504746396640e-07	1.0382089659988888e-14	2.9408158731380199e-15	1.1835952468704720e+20	3.3686799823655133e+19	3.5633555931574694e+19	3.6813973153918419e+19	-2.2593768373130055e+20	2.6882886465065259e+19
8.0000000000000000e+00	9.6445619998769029e+46	2.2849094497755673e+46	8.7975844861115296e+46	2.3566838217919823e+46	-1.5907485656565983e+47	3.5192395193715583e+46	4.7634424948474761e-06	1.0493411521712911e-06	4.1171524476373720e-14	9.0696959137049174e-15	2.4537369573031965e+20	5.7105738810659545e+19	1.0644264550966567e+20	7.9309539395415228e+19	-4.4574058156466858e+20	3.8963695970699674e+19
1.0000000000000000e+01	3.7826693540171494e+47	5.6736627525812835e+46	2.5000809545385618e+47	5.2039379702315438e+46	-7.0095185653569053e+47	9.1158740974363031e+46	1.7936679197889231e-05	2.3027342724209481e-06	1.5503082642848313e-13	1.9903059722483199e-14	4.4401786035592390e+20	4.4613120460560187e+19	4.4891744484831724e+19	9.3055255949213876e+19	-8.1491492720030214e+20	3.9060173250949530e+19
1.2000000000000000e+01	7.1171954123543799e+47	1.1305860471233220e+47	6.9568286480945580e+47	1.0599715313202970e+47	-1.3220213667016242e+48	1.7424901802124776e+47	3.3366516038121779e-05	4.1996169179600744e-06	2.8839444020596576e-13	3.6298250879739581e-14	6.1936356368726989e+20	8.8058164440814551e+19	1.9278224762171464e+20	1.4031607960946196e+20	-1.0966426749025099e+21	6.9782364601232040e+19
1.4000000000000000e+01	1.3041960616183244e+48	1.5360577819751207e+47	8.7487344856407333e+47	1.2952755784431339e+47	-2.2155886324223144e+48	2.4132285491251982e+47	5.3078855042687799e-05	5.5301954350153665e-06	4.5877270103118698e-13	4.7798745751239681e-14	7.7683354268096332e+20	9.4859286944189792e+19	2.8631445999101362e+20	1.4838626798981752e+20	-1.3958145061230428e+21	6.8744303344236069e+19
1.6000000000000000e+01	1.9902852029829623e+48	2.3019138736793136e+47	1.9532197600852019e+48	2.1153414063527669e+47	-3.7913164400939939e+48	3.5387456465543617e+47	8.4396334489097928e-05	7.4008802075246933e-06	7.2945684867460079e-13	6.3967502691678706e-14	1.1584682755472826e+21	1.3442435650788146e+20	7.7045238852420580e+20	1.7647203961360597e+20	-2.0537165278188337e+21	1.0565922155556338e+20
1.8000000000000000e+01	3.3911791014201184e+48	3.0231130555091939e+47	2.4826625674894799e+48	2.6921325310801228e+47	-5.6886269132320252e+48	4.4881157586235342e+47	1.1963681479042453e-04	8.7776991009440720e-06	1.0340483912102038e-12	7.5867663726742243e-14	1.8265901998042776e+21	1.7084402875282430e+20	3.6589470715448040e+20	2.1668301535886888e+20	-2.6653098797224700e+21	1.1079751973777364e+20
2.0000000000000000e+01	4.2026180249022641e+48	3.7197773543894471e+47	3.5837928971304430e+48	3.2781074656553803e+47	-7.0860599779076250e+48	5.4529269312497340e+47	1.4425635530730023e-04	1.0102736106699850e-05	1.2468407186255214e-12	8.7320262046882500e-14	2.2592944341185769e+21	1.8893530777036371e+20	1.3087647948227399e+21	2.5580751905639966e+20	-3.0628064380007602e+21	1.4730854964309875e+20
2.2000000000000000e+01	5.8581163517202147e+48	4.2505083977257476e+47	4.2134639225932824e+48	3.7271006997574136e+47	-9.7683262635134595e+48	6.3067061302114942e+47	1.8818794787601155e-04	1.0894795270516554e-05	1.6265515350540278e-12	9.4166210808747362e-14	3.2865359165402613e+21	2.5391435970324247e+20	8.5360075246913533e+20	3.2622814558342703e+20	-4.2218584951811243e+21	1.7097054654731010e+20
2.4000000000000000e+01	7.0533317235444804e+48	5.1191096510891419e+47	5.8748724262923884e+48	4.6569739239968679e+47	-1.2366941405795227e+49	7.6163150788503994e+47	2.2411190873819205e-04	1.2098561377451937e-05	1.9370505566178254e-12	1.0457063697514449e-13	3.9097759875639453e+21	2.6193182643648686e+20	1.8251170146443733e+21	3.6233073776661332e+20	-5.2776150323875126e+21	2.1811265265958594e+20
2.6000000000000000e+01	8.3580177878434844e+48	5.1911786439958625e+47	6.2961403649492332e+48	4.8913782013739505e+47	-1.3746480490644794e+49	7.7724135218321214e+47	2.4524396180096539e-04	1.2008580372418951e-05	2.1196997312118511e-12	1.0379291053987599e-13	4.3381269974509987e+21	2.9742298605342425e+20	1.4995321620317311e+21	3.9219643828802506e+20	-5.8998732940544930e+21	2.0884399650872050e+20
