#	RadiusAU	AngularMomentumX	AngularMomentumX_std	AngularMomentumY	AngularMomentumY_std	AngularMomentumZ	AngularMomentumZ_std	CellMassMsun	CellMassMsun_std	Density	Density_std	SpecificAngularMomentumX	SpecificAngularMomentumX_std	SpecificAngularMomentumY	SpecificAngularMomentumY_std	SpecificAngularMomentumZ	SpecificAngularMomentumZ_std	
4.0000000000000000e+00	5.2041612623361249e+45	5.1291284155040331e+45	1.6448558025558296e+46	2.1819006985366590e+46	-1.8952241538472759e+46	9.2298043923691063e+45	8.0927429827683342e-07	2.2700847390140522e-07	6.9947431118661325e-15	1.9620862327372785e-15	1.3062096666599095e+20	5.0706275184060547e+19	6.6453546228402381e+18	8.4899293162449568e+19	-8.3738551544178084e+18	4.7621456629844730e+19
6.0000000000000000e+00	1.2174325328891778e+45	1.7975159704074583e+46	7.6337054489348671e+46	5.1712349737805755e+46	-1.8984848306577066e+47	3.6911749077081623e+46	3.7626508673323374e-06	5.5150503693209706e-07	3.2521453223795535e-14	4.7667843479698126e-15	4.0682789090052021e+20	8.4684876469431763e+19	7.0344765574121521e+19	1.4386304984039091e+20	-3.2392651538717671e+20	8.1906896809938797e+19
8.0000000000000000e+00	9.2549218613073728e+46	3.2359337462682388e+46	9.4923857971973808e+46	5.6154340792315639e+46	-1.6305821744001053e+47	3.8714295195213336e+46	3.9708365249998844e-06	5.5330743334206857e-07	3.4320849544746362e-14	4.7823628729524359e-15	4.3174910730926791e+20	8.0899825742474789e+19	4.8677003315445318e+19	1.4039182745047007e+20	-2.8722025054038616e+20	8.6684628221509059e+19
1.0000000000000000e+01	2.3477121156925798e+47	5.4434294591102418e+46	3.1520023794234109e+47	1.1450598188219877e+47	-4.7984649343673447e+47	5.7326149393655993e+46	9.9967481011289729e-06	1.0691072055650835e-06	8.6404183439807146e-14	9.2405384402986765e-15	1.2078606849846818e+21	1.6614248006837980e+20	1.6751202409300414e+20	2.0519589787332441e+20	-1.1793450298961916e+21	1.3402486223468767e+20
1.2000000000000000e+01	4.5915239033893098e+47	7.4630303267182046e+46	3.9973272013229051e+47	1.1940225759142579e+47	-4.4543749182138947e+47	6.1423137491308962e+46	1.1453826649960012e-05	1.0458170258646519e-06	9.8998047058836136e-14	9.0392360828895806e-15	1.3844515825679849e+21	1.4606911704726839e+20	4.5364007916612400e+20	1.9636164396641773e+20	-9.5617204508426188e+20	1.2753865431737077e+20
1.4000000000000000e+01	4.3568674428681765e+47	7.7902756618808092e+46	5.4146504599180376e+47	1.3020149151097061e+47	-6.8809049894417807e+47	6.1537824915227739e+46	1.3629825565157717e-05	1.2052574783081318e-06	1.1780570406205005e-13	1.0417316430747548e-14	1.6768670888789677e+21	1.8586077465922696e+20	6.4461992400841553e+20	2.0517284132468893e+20	-1.9791190122191205e+21	1.3655530346033973e+20
1.6000000000000000e+01	1.0466826719947965e+48	1.1129463053506135e+47	8.5272644625971919e+47	1.5188922449047904e+47	-8.2556439458241254e+47	7.1025103604133301e+46	2.0794530228479830e-05	1.3922490682237868e-06	1.7973188743280158e-13	1.2033527569942782e-14	3.1272000956559749e+21	2.2220410470494952e+20	1.6835180474684586e+21	2.6512903413433011e+20	-2.5704222392654344e+21	2.0367773775120718e+20
1.8000000000000000e+01	1.0834334140738996e+48	1.1547474668500519e+47	1.1475813987443978e+48	1.7064565345461070e+47	-1.0164832869683452e+48	8.8922706554143681e+46	2.2851495853277636e-05	1.5237146922379617e-06	1.9751071244434069e-13	1.3169815068481100e-14	3.7119334293633924e+21	2.8211527443001557e+20	2.4152489991012939e+21	3.2361638371824553e+20	-3.5647186622368894e+21	2.3850776473062218e+20
2.0000000000000000e+01	1.5005532916595067e+48	1.3117634808080393e+47	1.3309922976766774e+48	1.7637266621525475e+47	-9.5111367107632349e+47	9.9179301058899244e+46	2.4098654790202459e-05	1.3707018831637344e-06	2.0829019277879835e-13	1.1847290314416662e-14	4.3051246366777562e+21	2.9490895490276508e+20	3.2260619165086578e+21	3.7099004076079900e+20	-3.2113886475669319e+21	2.6855110563154625e+20
2.2000000000000000e+01	1.5715022518737884e+48	1.4518875618339539e+47	1.8152690648469845e+48	2.2569155671107290e+47	-1.1528432249901731e+48	1.2341629706395687e+47	2.7564981133576411e-05	1.6547878944294332e-06	2.3825044527343654e-13	1.4302710775327587e-14	4.9963925688526014e+21	3.5565110292384206e+20	4.6025204380731273e+21	4.6704271026199455e+20	-4.3482170008900238e+21	3.3472629043282248e+20
