#	RadiusAU	AngularMomentumX	AngularMomentumX_std	AngularMomentumY	AngularMomentumY_std	AngularMomentumZ	AngularMomentumZ_std	CellMassMsun	CellMassMsun_std	Density	Density_std	SpecificAngularMomentumX	SpecificAngularMomentumX_std	SpecificAngularMomentumY	SpecificAngularMomentumY_std	SpecificAngularMomentumZ	SpecificAngularMomentumZ_std	
4.0000000000000000e+00	5.7685406253916843e+46	2.5420586841070784e+46	-9.2102634853477930e+46	3.3449708949459321e+46	1.6679278080621752e+46	2.5159559872401617e+46	1.2132070438301898e-06	3.6026544025944901e-07	1.0486026346280690e-14	3.1138567134331265e-15	2.0602671737545687e+20	1.3619970746851272e+20	-3.6994376272618560e+20	1.1041646533558439e+20	3.1579732596475711e+20	9.2015088649679405e+19
6.0000000000000000e+00	2.5814479024812937e+47	7.9207306367220835e+46	-6.6693103242400916e+47	1.4207299759640330e+47	-7.0269085170749110e+46	1.0264509772434328e+47	4.8837351054968984e-06	9.0757273127170083e-07	4.2211241061393209e-14	7.8443589819884301e-15	4.2631890021000335e+20	1.5312070955450827e+20	-1.1863766689421003e+21	1.0043641148574551e+20	1.4373642067945382e+20	2.5330034048402296e+20
8.0000000000000000e+00	5.2798944856441110e+47	1.1992380969415706e+47	-1.0560762160192980e+48	2.1777711991868930e+47	-1.5103798626483461e+47	1.5269520530921385e+47	7.3592441836012753e-06	1.1386643961773365e-06	6.3607633000816234e-14	9.8417371697675166e-15	8.4744812339211180e+20	2.0093075564482036e+20	-1.2998841914649506e+21	2.0385425182040195e+20	-1.3030539457989321e+20	2.8416137313719212e+20
1.0000000000000000e+01	9.8326295235447584e+47	2.0810683283692487e+47	-2.4334844673153367e+48	4.1754239575502488e+47	-4.0566502509761709e+47	1.9418485967265620e+47	1.4277116364364537e-05	1.7254437336618054e-06	1.2340038669161927e-13	1.4913405376448721e-14	1.5350112642892827e+21	2.7971604459746460e+20	-3.0044081311875413e+21	3.0469238753887230e+20	-5.0462987498753976e+20	4.1043456952530469e+20
1.2000000000000000e+01	1.6066661733810893e+48	2.8923264699413759e+47	-3.7730277676680913e+48	5.2137527494937975e+47	-1.3616393708683035e+48	2.9659090807052846e+47	2.0398470685191625e-05	2.0898203819684547e-06	1.7630865408880091e-13	1.8062796202642917e-14	2.0638301574454570e+21	3.3349505127520344e+20	-4.1217127589151559e+21	4.1116957077839118e+20	-1.5289015188012157e+21	5.1073181200094783e+20
1.4000000000000000e+01	1.7205783436986781e+48	3.6004673234483269e+47	-5.3438221577426919e+48	7.1522300144656314e+47	-1.8493169434638159e+48	3.4616082527303807e+47	2.7203461292890303e-05	2.5640417238718309e-06	2.3512574648981469e-13	2.2161599873835093e-14	2.5923394503120760e+21	4.1836689333556085e+20	-5.7617550583937735e+21	5.6904109180878396e+20	-2.3576228542921892e+21	6.2401534519222390e+20
1.6000000000000000e+01	2.2193853970992523e+48	4.1897861295824446e+47	-6.2391025417920008e+48	8.1348835908823740e+47	-3.2423176539459544e+48	4.9709516579653562e+47	3.0837576478701191e-05	2.9154786447796497e-06	2.6653623637909483e-13	2.5199149672475199e-14	3.4024514219414116e+21	4.7876461045129419e+20	-7.1657559679833190e+21	6.4430042930065113e+20	-3.5215740442747821e+21	7.6088776014821602e+20
1.8000000000000000e+01	2.7839614528027695e+48	4.7523893412030988e+47	-9.9415914623369599e+48	1.1231929230227797e+48	-4.5185953586733989e+48	6.0821114622339024e+47	4.3850317933937114e-05	3.7339086970675403e-06	3.7900834114544485e-13	3.2273028063243858e-14	4.0531670087285169e+21	5.3810423530515333e+20	-1.0173659944396742e+22	8.6673328333004669e+20	-4.8079708516342678e+21	9.0777178732190355e+20
2.0000000000000000e+01	2.9741366292384206e+48	5.6247390866778570e+47	-1.2236802781768967e+49	1.3087049604559583e+48	-8.3187324338112898e+48	8.1676588437285496e+47	5.3500971124767224e-05	4.2421427440079728e-06	4.6242114700781067e-13	3.6665811334159454e-14	4.4984305119483359e+21	6.0115930150110770e+20	-1.1593642079810188e+22	9.7954392240878295e+20	-9.9600566761295110e+21	1.0100423217688769e+21
2.2000000000000000e+01	3.4407268803493338e+48	6.2997229712994737e+47	-1.5878613011407860e+49	1.5427777869768776e+48	-9.3901189103426543e+48	1.0229088353130729e+48	6.5428542943583319e-05	4.9354841614741970e-06	5.6551388206513106e-13	4.2658520004532163e-14	5.6303427566182534e+21	7.4095925177202128e+20	-1.6794800962359265e+22	1.1512473048674523e+21	-9.6152538540417430e+21	1.2224249973333628e+21
2.4000000000000000e+01	4.0477988540228087e+48	5.9373053328729612e+47	-1.8222855026602812e+49	1.7298934329310212e+48	-1.1537190668308300e+49	1.1401114731686731e+48	7.0706225754889036e-05	5.2713278081284762e-06	6.1113010337550658e-13	4.5561293562398747e-14	7.8295247928629144e+21	7.9174231418981541e+20	-1.9527751909172929e+22	1.3436665786604918e+21	-1.2309453158174914e+22	1.3824236118493687e+21
2.6000000000000000e+01	4.0114564646744422e+48	7.0420623569581383e+47	-2.1457773739123413e+49	1.9343906425475010e+48	-1.5170743782333535e+49	1.3753209326989420e+48	8.4330720849801224e-05	5.9497749023019723e-06	7.2888973496236224e-13	5.1425267185236224e-14	6.8439408590444256e+21	9.0657184848789688e+20	-2.2362130038765218e+22	1.5235030288351151e+21	-1.7474685835961415e+22	1.4765381141832262e+21
2.8000000000000000e+01	4.2985367795813936e+48	6.3462552883820066e+47	-2.0698164405581018e+49	1.8403334358121628e+48	-1.5402370495917992e+49	1.3544962579680299e+48	8.0855710915164693e-05	5.6647822046246408e-06	6.9885442819959815e-13	4.8962010026006950e-14	9.0445789299635577e+21	1.0249369525227065e+21	-2.5978996286919889e+22	1.7275433034591476e+21	-2.0821488055176630e+22	1.6656146614951252e+21
3.0000000000000000e+01	4.4279765648549708e+48	6.3065085110446723e+47	-2.0346190123445308e+49	1.8143385071453230e+48	-1.5602985036333544e+49	1.4303599510662986e+48	8.3303068448030310e-05	5.7347206787239940e-06	7.2000749988584307e-13	4.9566504275981910e-14	9.7370063335016702e+21	1.2433647155373026e+21	-2.8804741268160643e+22	1.9164268502038413e+21	-2.1239113497723105e+22	1.7926481158433192e+21
3.2000000000000000e+01	4.2373747068524882e+48	6.0233772081849425e+47	-1.9276719275591843e+49	1.7561517661160606e+48	-1.6182768093280665e+49	1.4183202844450958e+48	7.7987422149611990e-05	5.2571050291581084e-06	6.7406315146139899e-13	4.5438362826248575e-14	1.0805479515376425e+22	1.2718021639552377e+21	-3.1757209671361653e+22	2.1535113517235888e+21	-3.0184696649901662e+22	1.9594550513484193e+21
3.4000000000000000e+01	4.5449309404839298e+48	5.3926972270405542e+47	-1.6129091008383386e+49	1.5371190194314938e+48	-1.4593437276784619e+49	1.3393603436886106e+48	7.2266429145408407e-05	4.9959147776690193e-06	6.2461529862041039e-13	4.3180835661009335e-14	1.1741578718169610e+22	1.4596584484212805e+21	-3.6252185395801274e+22	2.3438486752562271e+21	-3.0251926639919118e+22	2.1270339986024827e+21
3.6000000000000000e+01	4.6299324782698393e+48	5.6365250745188318e+47	-1.6743991072444791e+49	1.6293946940072940e+48	-1.5362670401847274e+49	1.4176570994171512e+48	7.3495740248878417e-05	4.6704999035525803e-06	6.3524051604254589e-13	4.0368200372737641e-14	1.3387036421218479e+22	1.6215843489885106e+21	-3.7567846428031364e+22	2.6013300977017553e+21	-3.5587734340637953e+22	2.3088890953241256e+21
3.8000000000000000e+01	4.6670964368507375e+48	4.8104718186114875e+47	-1.3330756022109984e+49	1.2871456040805562e+48	-1.3019013727161841e+49	1.1633097969859832e+48	6.6468961665792613e-05	3.9369807815782323e-06	5.7450645937312856e-13	3.4028226600214525e-14	1.6119916981841222e+22	1.7361957341992122e+21	-4.1766537070645506e+22	2.7557323066970084e+21	-3.9508450994054977e+22	2.4859680558954709e+21
4.0000000000000000e+01	4.5377293024020152e+48	4.8165738959748483e+47	-1.1946150205068930e+49	1.2080235575634254e+48	-1.2453236431623468e+49	1.1346224790968627e+48	5.8973905999504090e-05	3.4600512004018906e-06	5.0972497662191046e-13	2.9906014996705452e-14	1.4812285182860310e+22	1.9825070537815124e+21	-4.3907945274321182e+22	2.8279374413393565e+21	-4.7807753081258928e+22	2.7158057821923390e+21
4.2000000000000000e+01	5.0386161257523055e+48	4.8429923836386542e+47	-1.1016998220967219e+49	1.1093795979656922e+48	-1.1530256240602652e+49	1.0839574050422728e+48	5.9220844324190898e-05	3.2643440061736129e-06	5.1185932111961256e-13	2.8214472893260805e-14	2.1652522181124709e+22	2.0620015794188284e+21	-4.8876338617966215e+22	3.1035413911591631e+21	-4.8971494648161914e+22	2.9305407569352946e+21
4.4000000000000000e+01	4.3383838331729564e+48	4.4975105227589405e+47	-8.4070534473240178e+48	8.4499071838806082e+47	-1.0306252778700856e+49	8.6091808279884632e+47	5.1226368705833660e-05	2.4835455092070376e-06	4.4276123733818823e-13	2.1465852654064552e-14	1.8037060514058806e+22	2.3178232385809469e+21	-4.9225908210696985e+22	3.2502939654069001e+21	-6.1578226517488100e+22	3.1610587740733136e+21
4.6000000000000000e+01	4.9077305712788531e+48	4.5367451276239373e+47	-8.7217412960992399e+48	8.8031707986650583e+47	-1.1226540109219334e+49	9.8268366732523120e+47	5.4347262219842384e-05	2.7261478176625142e-06	4.6973583477253379e-13	2.3562719970381181e-14	2.5429427153871053e+22	2.3825366891583017e+21	-5.1137103962077888e+22	3.4709484781069869e+21	-6.9553992985265501e+22	3.4659453197859013e+21
4.8000000000000000e+01	5.0305410241973574e+48	4.8708296662269153e+47	-8.0069371577566618e+48	7.5273516488081249e+47	-9.5944555805049043e+48	8.0920982094689996e+47	5.0109789996801453e-05	2.2720739857941465e-06	4.3311039182080391e-13	1.9638055842899593e-14	2.2301239552162230e+22	2.7086452387577982e+21	-5.5733334283782847e+22	3.6082062674113373e+21	-7.9562904153945572e+22	3.6759058923923136e+21
5.0000000000000000e+01	5.2114354205481242e+48	4.7965562304148071e+47	-8.1744085418231669e+48	7.2933951084618557e+47	-1.0618336969477124e+49	8.7729844660209339e+47	5.1470404756072497e-05	2.2726273007789747e-06	4.4487049681311492e-13	1.9642838271041767e-14	2.8990023514737913e+22	2.6806715864300074e+21	-6.2686004445047861e+22	3.7105953026455508e+21	-8.7034381174590201e+22	3.8967718819569971e+21
5.2000000000000000e+01	5.2368467495147199e+48	4.9036349896716712e+47	-7.2505117218142551e+48	7.0596084545996095e+47	-9.5341127545564216e+48	7.6101207545183710e+47	4.8152794182266428e-05	2.1250143714725484e-06	4.1619562877591716e-13	1.8366985914570041e-14	2.6650862439367629e+22	2.9756606624893092e+21	-6.4832260110072519e+22	4.0141687495778291e+21	-1.0609490661386901e+23	4.2633415577207691e+21
5.4000000000000000e+01	6.1593922897711109e+48	5.2088109325724741e+47	-8.3713064789998781e+48	7.0419939950615610e+47	-1.0056830168748117e+49	8.3055075018592406e+47	5.1427441087339126e-05	2.2227582087747329e-06	4.4449915198408341e-13	1.9211808287098837e-14	3.6054345346693663e+22	3.0944206394590867e+21	-7.9748689312688051e+22	4.1989547406309301e+21	-1.0946593536374984e+23	4.4879545784262344e+21
5.6000000000000000e+01	6.0831604575969066e+48	5.3587636552086313e+47	-7.7768274605759004e+48	6.7578120262753855e+47	-9.4501428229372999e+48	7.4179819092256340e+47	4.9200907429978872e-05	2.0685345419636542e-06	4.2525471163015140e-13	1.7878817812286411e-14	3.3774121156303422e+22	3.3428087038657073e+21	-8.3110248884127639e+22	4.5363593178097632e+21	-1.2552018978514103e+23	4.8132304820643897e+21
5.8000000000000000e+01	6.3244316134737769e+48	5.0554695523518637e+47	-7.9226493053857603e+48	6.3964804989637655e+47	-8.8884680492781265e+48	7.0812008217899557e+47	4.8822501374263661e-05	1.9284202140958573e-06	4.2198406142250446e-13	1.6667777585488338e-14	3.8534018743642402e+22	3.5676954038881831e+21	-9.3953915189786084e+22	4.6924942768160123e+21	-1.3834628643782666e+23	5.1106552220330419e+21
6.0000000000000000e+01	6.0957377349231267e+48	5.0739552614107604e+47	-7.4028327998173309e+48	6.2377491127267183e+47	-9.6283611955008296e+48	7.1351319918608032e+47	4.7730756125428083e-05	1.9052643514749603e-06	4.1254785718932267e-13	1.6467636161360931e-14	3.9829927703791159e+22	3.8497898428995988e+21	-1.0901105137894268e+23	5.1509097155877415e+21	-1.5441718905764103e+23	5.4590677775985452e+21
6.2000000000000000e+01	6.9873958309438603e+48	5.1688431064791309e+47	-8.5952357146951221e+48	6.4326865467085391e+47	-8.1347591561479998e+48	6.5803600934676177e+47	4.8763791177023372e-05	1.8510157904892772e-06	4.2147661574108696e-13	1.5998753423961235e-14	4.4236063634038985e+22	4.1840086667771479e+21	-1.1318329003877842e+23	5.3410981641022467e+21	-1.6194931701777499e+23	5.7530843312487253e+21
6.4000000000000000e+01	6.7427451450243910e+48	5.1642059893554588e+47	-8.3235725276666303e+48	6.3328864688039583e+47	-9.4739894400414528e+48	6.8946563381103439e+47	4.9200806842434630e-05	1.8287799994115902e-06	4.2525384222896856e-13	1.5806564388910059e-14	4.7761005167653922e+22	4.5045743324540269e+21	-1.3123654393910030e+23	5.6883425504439126e+21	-1.8491775812159499e+23	6.2028539537189167e+21
6.6000000000000000e+01	6.3181041721032733e+48	4.6809076044469334e+47	-7.7956759716948392e+48	5.9175953124488192e+47	-7.0567821181948667e+48	5.9352825518966713e+47	4.4332341878261400e-05	1.6324311874212826e-06	3.8317458449642732e-13	1.4109476636195471e-14	4.7704319206629656e+22	4.8214602155268443e+21	-1.4113995804037500e+23	6.0822160001450461e+21	-1.8523591322195441e+23	6.4800367213887734e+21
6.8000000000000000e+01	7.4493999138750891e+48	5.4826042305010863e+47	-9.0416830356419814e+48	6.6149478199067383e+47	-8.1999214021781840e+48	6.3526767908962458e+47	4.9175878138054957e-05	1.8064268426039198e-06	4.2503837772747777e-13	1.5613360934973807e-14	5.3665961282608453e+22	5.3122302180250490e+21	-1.5856567218026133e+23	6.4990394760070211e+21	-2.1317460709256722e+23	7.1408744193328614e+21
7.0000000000000000e+01	6.9488508330587703e+48	5.1003790895917944e+47	-8.2627226527283474e+48	6.1436739727404501e+47	-7.4605690450104582e+48	5.7094488580181311e+47	4.5901439829521213e-05	1.6552672855870227e-06	3.9673665746697360e-13	1.4306854262899827e-14	5.5436298058001247e+22	5.4804023935969798e+21	-1.5482341533026150e+23	6.5944251283847711e+21	-2.1862276110303883e+23	7.2179003864713150e+21
7.2000000000000000e+01	6.8978849954797689e+48	4.8225879882625082e+47	-8.5189415371867599e+48	6.1220749028246913e+47	-8.5056360328380785e+48	6.2606212777421265e+47	4.7600729643944695e-05	1.6393251213430237e-06	4.1142400852929115e-13	1.4169062486030857e-14	6.1891976995720623e+22	6.0241933958414042e+21	-1.8521835021021039e+23	7.4179789797711183e+21	-2.5319033586238588e+23	8.0583650561173781e+21
7.4000000000000000e+01	8.2789290479829919e+48	5.6994114154043449e+47	-9.8562603253231080e+48	6.8157109418406222e+47	-6.8802304735137672e+48	5.7842635063509103e+47	4.9190014582278827e-05	1.7727178962993000e-06	4.2516056225264028e-13	1.5322006791546102e-14	6.1389008219784343e+22	6.3237644381235488e+21	-1.8891728178145446e+23	7.5246145010365744e+21	-2.4707309913644842e+23	8.1897653003406058e+21
7.6000000000000000e+01	8.0744702024682540e+48	5.6308089058824921e+47	-9.6061278960076067e+48	6.8350357316700051e+47	-8.3196100554130313e+48	5.9707726234764711e+47	4.9521422361677441e-05	1.7605952260334353e-06	4.2802499559384888e-13	1.5217227775926636e-14	7.3127196171103457e+22	6.8978192366453937e+21	-2.0560422459096130e+23	7.9276133201965125e+21	-2.7636858267676545e+23	8.5873737564541147e+21
7.8000000000000000e+01	7.2881311019424504e+48	5.0600021379205132e+47	-9.0370888780136972e+48	6.3871745703586133e+47	-7.2881104007048788e+48	5.7393946089791102e+47	4.6313092183495682e-05	1.6048445552478186e-06	4.0029466304502945e-13	1.3871039056025445e-14	6.7751213606136850e+22	7.1186626409380803e+21	-2.1592922030570039e+23	8.3634287217487706e+21	-2.9711560943411107e+23	9.1027245956722055e+21
8.0000000000000000e+01	8.9956007308288525e+48	5.8663782812296491e+47	-1.0709526725598849e+49	7.3171893245401762e+47	-7.5983897323125340e+48	6.0589301704559306e+47	5.1402944586284448e-05	1.8076695802558048e-06	4.4428742311492031e-13	1.5624102201129040e-14	9.0661780852695875e+22	7.7155489547141157e+21	-2.4340231853243130e+23	9.0325082095630166e+21	-3.1475916305531441e+23	9.6068239668212138e+21
8.2000000000000000e+01	8.7498567757981942e+48	5.8603360052686598e+47	-1.0357966106432207e+49	7.1261525189628802e+47	-7.4477534737598679e+48	5.6790361615042044e+47	5.0082801129322839e-05	1.7750520283335076e-06	4.3287712085780041e-13	1.5342181229314885e-14	8.1600038837616342e+22	8.0544964974509797e+21	-2.3416923095903674e+23	8.9788510694890191e+21	-3.1950700500525569e+23	9.6003164351217522e+21
8.4000000000000000e+01	8.7551732371082967e+48	5.6846090337521092e+47	-1.0791166767933711e+49	7.3166252679442849e+47	-7.4527493423645519e+48	5.9937905272574400e+47	5.0598353603248095e-05	1.7670945105262283e-06	4.3733315896931892e-13	1.5273402580359226e-14	9.9725096939350460e+22	8.6120927814719908e+21	-2.7450234387435637e+23	9.6255063299994189e+21	-3.4291505947410517e+23	1.0236569158963182e+22
8.6000000000000000e+01	9.2497520663923027e+48	6.1345298620333325e+47	-1.1374479031093442e+49	7.8523419574865572e+47	-7.1063904814800825e+48	6.0016357305513680e+47	5.2087670728237299e-05	1.8731393161685068e-06	4.4313663923111307e-13	1.6202023911651392e-14	9.4293325771868434e+22	8.9564392711835867e+21	-2.8589054969860530e+23	9.9421273122832982e+21	-3.4354930836993841e+23	1.0708300760749921e+22
8.8000000000000000e+01	9.5680584347870351e+48	6.2633724518779159e+47	-1.1524453332419320e+49	7.9183765017941520e+47	-6.7080453120647216e+48	5.8385681844102832e+47	5.2233523655974424e-05	1.8740135108790451e-06	4.3854599244548957e-13	1.6197856437536918e-14	9.3844841365751883e+22	9.2825107549085699e+21	-2.9084442969780509e+23	1.0173585462025276e+22	-3.3818941047690884e+23	1.0691646254668323e+22
9.0000000000000000e+01	9.6770551336689235e+48	6.3069317820792659e+47	-1.1502416855771387e+49	7.9839340542219478e+47	-8.3508454824275767e+48	7.0856012770821812e+47	5.3904403206724293e-05	1.9172559474300541e-06	4.3790814027810167e-13	1.6155375200058770e-14	8.8552313559732799e+22	9.0911899964579418e+21	-3.0403127681673600e+23	1.0315959656072341e+22	-3.6014631899524562e+23	1.0949223147236590e+22
9.2000000000000000e+01	9.8532481313962018e+48	6.6665595131117931e+47	-1.1800626002971383e+49	8.1911475584973531e+47	-8.6957925655306377e+48	8.8409461144799693e+47	5.4901990962525554e-05	2.0231957346322347e-06	4.2671847865743850e-13	1.6345981352580727e-14	8.8059753043606368e+22	9.1022906945988859e+21	-3.3457048288243782e+23	1.0991114232759367e+22	-3.4756032406266020e+23	1.1435849661236197e+22
9.4000000000000000e+01	1.0143720759437988e+49	6.6085365123833678e+47	-1.2522767666977271e+49	8.4151776497859715e+47	-6.5766902853668725e+48	8.0152689227440984e+47	5.3735802221867108e-05	2.0004730990780715e-06	4.2711025358764077e-13	1.6299351566445745e-14	8.9016204459825741e+22	9.0877863644221942e+21	-3.2687881640508921e+23	1.0846524154976643e+22	-3.3435399674076881e+23	1.1466980545528511e+22
9.6000000000000000e+01	1.0091686732218873e+49	6.8389472543414909e+47	-1.2922551826885622e+49	8.8523919225867680e+47	-6.6377926630771772e+48	7.6952005878797323e+47	5.5299484520119867e-05	2.0913874580360887e-06	4.3021599459829519e-13	1.7015444127878451e-14	8.4163003233971439e+22	9.0733078409548482e+21	-3.2622338278507291e+23	1.0844574470812771e+22	-3.4573700856567459e+23	1.1371364671029116e+22
9.8000000000000000e+01	1.0350064741422220e+49	7.0386830969690590e+47	-1.2981179839637732e+49	8.9768653665945589e+47	-7.1222781941610637e+48	9.5005935253509513e+47	5.6015340875649591e-05	2.1644542622621132e-06	4.1413530098221811e-13	1.7148217210706834e-14	6.9371849445924135e+22	9.1209621383300640e+21	-3.4436843359706047e+23	1.1408745128382377e+22	-3.2863793715316130e+23	1.1687308481403424e+22
